# allkeys.txt from Unicode 7.0.0 (comments removed)
E0112 ; [.0000.0000.0000]
E0113 ; [.0000.0000.0000]
E0114 ; [.0000.0000.0000]
E0115 ; [.0000.0000.0000]
E0116 ; [.0000.0000.0000]
E0117 ; [.0000.0000.0000]
E0118 ; [.0000.0000.0000]
E0119 ; [.0000.0000.0000]
E011A ; [.0000.0000.0000]
E011B ; [.0000.0000.0000]
E011C ; [.0000.0000.0000]
E011D ; [.0000.0000.0000]
E011E ; [.0000.0000.0000]
E011F ; [.0000.0000.0000]
E0120 ; [.0000.0000.0000]
E0121 ; [.0000.0000.0000]
E0122 ; [.0000.0000.0000]
E0123 ; [.0000.0000.0000]
E0124 ; [.0000.0000.0000]
E0125 ; [.0000.0000.0000]
E0126 ; [.0000.0000.0000]
E0127 ; [.0000.0000.0000]
E0128 ; [.0000.0000.0000]
E0129 ; [.0000.0000.0000]
E012A ; [.0000.0000.0000]
E012B ; [.0000.0000.0000]
E012C ; [.0000.0000.0000]
E012D ; [.0000.0000.0000]
E012E ; [.0000.0000.0000]
E012F ; [.0000.0000.0000]
E0130 ; [.0000.0000.0000]
E0131 ; [.0000.0000.0000]
E0132 ; [.0000.0000.0000]
E0133 ; [.0000.0000.0000]
E0134 ; [.0000.0000.0000]
E0135 ; [.0000.0000.0000]
E0136 ; [.0000.0000.0000]
E0137 ; [.0000.0000.0000]
E0138 ; [.0000.0000.0000]
E0139 ; [.0000.0000.0000]
E013A ; [.0000.0000.0000]
E013B ; [.0000.0000.0000]
E013C ; [.0000.0000.0000]
E013D ; [.0000.0000.0000]
E013E ; [.0000.0000.0000]
E013F ; [.0000.0000.0000]
E0140 ; [.0000.0000.0000]
E0141 ; [.0000.0000.0000]
E0142 ; [.0000.0000.0000]
E0143 ; [.0000.0000.0000]
E0144 ; [.0000.0000.0000]
E0145 ; [.0000.0000.0000]
E0146 ; [.0000.0000.0000]
E0147 ; [.0000.0000.0000]
E0148 ; [.0000.0000.0000]
E0149 ; [.0000.0000.0000]
E014A ; [.0000.0000.0000]
E014B ; [.0000.0000.0000]
E014C ; [.0000.0000.0000]
E014D ; [.0000.0000.0000]
E014E ; [.0000.0000.0000]
E014F ; [.0000.0000.0000]
E0150 ; [.0000.0000.0000]
E0151 ; [.0000.0000.0000]
E0152 ; [.0000.0000.0000]
E0153 ; [.0000.0000.0000]
E0154 ; [.0000.0000.0000]
E0155 ; [.0000.0000.0000]
E0156 ; [.0000.0000.0000]
E0157 ; [.0000.0000.0000]
E0158 ; [.0000.0000.0000]
E0159 ; [.0000.0000.0000]
E015A ; [.0000.0000.0000]
E015B ; [.0000.0000.0000]
E015C ; [.0000.0000.0000]
E015D ; [.0000.0000.0000]
E015E ; [.0000.0000.0000]
E015F ; [.0000.0000.0000]
E0160 ; [.0000.0000.0000]
E0161 ; [.0000.0000.0000]
E0162 ; [.0000.0000.0000]
E0163 ; [.0000.0000.0000]
E0164 ; [.0000.0000.0000]
E0165 ; [.0000.0000.0000]
E0166 ; [.0000.0000.0000]
E0167 ; [.0000.0000.0000]
E0168 ; [.0000.0000.0000]
E0169 ; [.0000.0000.0000]
E016A ; [.0000.0000.0000]
E016B ; [.0000.0000.0000]
E016C ; [.0000.0000.0000]
E016D ; [.0000.0000.0000]
E016E ; [.0000.0000.0000]
E016F ; [.0000.0000.0000]
E0170 ; [.0000.0000.0000]
E0171 ; [.0000.0000.0000]
E0172 ; [.0000.0000.0000]
E0173 ; [.0000.0000.0000]
E0174 ; [.0000.0000.0000]
E0175 ; [.0000.0000.0000]
E0176 ; [.0000.0000.0000]
E0177 ; [.0000.0000.0000]
E0178 ; [.0000.0000.0000]
E0179 ; [.0000.0000.0000]
E017A ; [.0000.0000.0000]
E017B ; [.0000.0000.0000]
E017C ; [.0000.0000.0000]
E017D ; [.0000.0000.0000]
E017E ; [.0000.0000.0000]
E017F ; [.0000.0000.0000]
E0180 ; [.0000.0000.0000]
E0181 ; [.0000.0000.0000]
E0182 ; [.0000.0000.0000]
E0183 ; [.0000.0000.0000]
E0184 ; [.0000.0000.0000]
E0185 ; [.0000.0000.0000]
E0186 ; [.0000.0000.0000]
E0187 ; [.0000.0000.0000]
E0188 ; [.0000.0000.0000]
E0189 ; [.0000.0000.0000]
E018A ; [.0000.0000.0000]
E018B ; [.0000.0000.0000]
E018C ; [.0000.0000.0000]
E018D ; [.0000.0000.0000]
E018E ; [.0000.0000.0000]
E018F ; [.0000.0000.0000]
E0190 ; [.0000.0000.0000]
E0191 ; [.0000.0000.0000]
E0192 ; [.0000.0000.0000]
E0193 ; [.0000.0000.0000]
E0194 ; [.0000.0000.0000]
E0195 ; [.0000.0000.0000]
E0196 ; [.0000.0000.0000]
E0197 ; [.0000.0000.0000]
E0198 ; [.0000.0000.0000]
E0199 ; [.0000.0000.0000]
E019A ; [.0000.0000.0000]
E019B ; [.0000.0000.0000]
E019C ; [.0000.0000.0000]
E019D ; [.0000.0000.0000]
E019E ; [.0000.0000.0000]
E019F ; [.0000.0000.0000]
E01A0 ; [.0000.0000.0000]
E01A1 ; [.0000.0000.0000]
E01A2 ; [.0000.0000.0000]
E01A3 ; [.0000.0000.0000]
E01A4 ; [.0000.0000.0000]
E01A5 ; [.0000.0000.0000]
E01A6 ; [.0000.0000.0000]
E01A7 ; [.0000.0000.0000]
E01A8 ; [.0000.0000.0000]
E01A9 ; [.0000.0000.0000]
E01AA ; [.0000.0000.0000]
E01AB ; [.0000.0000.0000]
E01AC ; [.0000.0000.0000]
E01AD ; [.0000.0000.0000]
E01AE ; [.0000.0000.0000]
E01AF ; [.0000.0000.0000]
E01B0 ; [.0000.0000.0000]
E01B1 ; [.0000.0000.0000]
E01B2 ; [.0000.0000.0000]
E01B3 ; [.0000.0000.0000]
E01B4 ; [.0000.0000.0000]
E01B5 ; [.0000.0000.0000]
E01B6 ; [.0000.0000.0000]
E01B7 ; [.0000.0000.0000]
E01B8 ; [.0000.0000.0000]
E01B9 ; [.0000.0000.0000]
E01BA ; [.0000.0000.0000]
E01BB ; [.0000.0000.0000]
E01BC ; [.0000.0000.0000]
E01BD ; [.0000.0000.0000]
E01BE ; [.0000.0000.0000]
E01BF ; [.0000.0000.0000]
E01C0 ; [.0000.0000.0000]
E01C1 ; [.0000.0000.0000]
E01C2 ; [.0000.0000.0000]
E01C3 ; [.0000.0000.0000]
E01C4 ; [.0000.0000.0000]
E01C5 ; [.0000.0000.0000]
E01C6 ; [.0000.0000.0000]
E01C7 ; [.0000.0000.0000]
E01C8 ; [.0000.0000.0000]
E01C9 ; [.0000.0000.0000]
E01CA ; [.0000.0000.0000]
E01CB ; [.0000.0000.0000]
E01CC ; [.0000.0000.0000]
E01CD ; [.0000.0000.0000]
E01CE ; [.0000.0000.0000]
E01CF ; [.0000.0000.0000]
E01D0 ; [.0000.0000.0000]
E01D1 ; [.0000.0000.0000]
E01D2 ; [.0000.0000.0000]
E01D3 ; [.0000.0000.0000]
E01D4 ; [.0000.0000.0000]
E01D5 ; [.0000.0000.0000]
E01D6 ; [.0000.0000.0000]
E01D7 ; [.0000.0000.0000]
E01D8 ; [.0000.0000.0000]
E01D9 ; [.0000.0000.0000]
E01DA ; [.0000.0000.0000]
E01DB ; [.0000.0000.0000]
E01DC ; [.0000.0000.0000]
E01DD ; [.0000.0000.0000]
E01DE ; [.0000.0000.0000]
E01DF ; [.0000.0000.0000]
E01E0 ; [.0000.0000.0000]
E01E1 ; [.0000.0000.0000]
E01E2 ; [.0000.0000.0000]
E01E3 ; [.0000.0000.0000]
E01E4 ; [.0000.0000.0000]
E01E5 ; [.0000.0000.0000]
E01E6 ; [.0000.0000.0000]
E01E7 ; [.0000.0000.0000]
E01E8 ; [.0000.0000.0000]
E01E9 ; [.0000.0000.0000]
E01EA ; [.0000.0000.0000]
E01EB ; [.0000.0000.0000]
E01EC ; [.0000.0000.0000]
E01ED ; [.0000.0000.0000]
E01EE ; [.0000.0000.0000]
E01EF ; [.0000.0000.0000]
0009  ; [*0201.0020.0002]
000A  ; [*0202.0020.0002]
000B  ; [*0203.0020.0002]
000C  ; [*0204.0020.0002]
000D  ; [*0205.0020.0002]
0020  ; [*0209.0020.0002]
0021  ; [*025F.0020.0002]
0022  ; [*02FF.0020.0002]
0023  ; [*038B.0020.0002]
0025  ; [*038C.0020.0002]
0026  ; [*0389.0020.0002]
0027  ; [*02F8.0020.0002]
0028  ; [*030A.0020.0002]
0029  ; [*030B.0020.0002]
002A  ; [*0382.0020.0002]
002B  ; [*05D6.0020.0002]
002C  ; [*0221.0020.0002]
002D  ; [*020D.0020.0002]
002E  ; [*0274.0020.0002]
002F  ; [*0387.0020.0002]
003A  ; [*0238.0020.0002]
003B  ; [*0233.0020.0002]
003C  ; [*05DA.0020.0002]
003D  ; [*05DB.0020.0002]
003E  ; [*05DC.0020.0002]
003F  ; [*0264.0020.0002]
0040  ; [*0381.0020.0002]
005B  ; [*030C.0020.0002]
005C  ; [*0388.0020.0002]
005D  ; [*030D.0020.0002]
005E  ; [*0449.0020.0002]
005F  ; [*020B.0020.0002]
0060  ; [*0446.0020.0002]
007B  ; [*030E.0020.0002]
007C  ; [*05DE.0020.0002]
007D  ; [*030F.0020.0002]
007E  ; [*05E0.0020.0002]
0085  ; [*0206.0020.0002]
00A0  ; [*0209.0020.001B]
00A1  ; [*0260.0020.0002]
00A6  ; [*05DF.0020.0002]
00A7  ; [*037C.0020.0002]
00A8  ; [*044D.0020.0002]
00A9  ; [*0546.0020.0002]
00AB  ; [*0308.0020.0002]
00AC  ; [*05DD.0020.0002]
00AE  ; [*0547.0020.0002]
00AF  ; [*044A.0020.0002]
00B0  ; [*04BA.0020.0002]
00B1  ; [*05D7.0020.0002]
00B4  ; [*0447.0020.0002]
00B6  ; [*037E.0020.0002]
00B7  ; [*0288.0020.0002]
00B8  ; [*0450.0020.0002]
00BB  ; [*0309.0020.0002]
00BF  ; [*0265.0020.0002]
00D7  ; [*05D9.0020.0002]
00F7  ; [*05D8.0020.0002]
02B9  ; [*0457.0020.0002]
02BA  ; [*0459.0020.0002]
02C2  ; [*045A.0020.0002]
02C3  ; [*045B.0020.0002]
02C4  ; [*045C.0020.0002]
02C5  ; [*045D.0020.0002]
02C6  ; [*045E.0020.0002]
02C7  ; [*045F.0020.0002]
